f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,agglutination
2041,1086,43,499,889,471,2542,46,523,876,2326,1042,554,2508,2468,3092,40,548,1030,2627,1447,1236,907,453,2547,2602,3196,1324,883,53,557,915,2422,1459,1240,615,552,2420,2316,3157,1299,875,876,2287,1439,1285,707,2488,3047,1261,931,1510,1237,631,1263,937,723,8023,7878,1
1547,1504,12,269,1036,190,2693,9,174,364,1440,1459,242,2641,1399,4377,8,252,357,1063,570,995,1066,172,2608,1075,3367,1069,1584,5,242,348,1194,641,989,151,202,2636,1040,3512,1081,1601,350,1332,552,1053,272,1353,4201,959,1608,603,999,168,1004,1614,265,35731,8993,0
4301,1937,108,994,1458,944,3396,121,989,1508,3827,2049,1196,3207,3332,3711,125,1031,1326,2522,2180,1801,1483,939,3378,2713,3224,1859,912,107,1082,1183,2628,2368,1580,1167,961,3103,2365,2919,1679,768,1420,3159,1985,1756,1592,3615,3572,1591,805,2196,1615,1129,1767,795,1614,8792,12997,1
2655,1216,66,687,1066,631,2573,63,612,1103,2959,1324,723,2672,3237,2963,74,693,987,2560,1815,1255,1031,603,2561,2576,2492,1319,685,46,665,970,2462,1808,1279,795,609,2476,2540,2440,1277,674,985,2669,1683,1197,940,2838,2661,1109,597,1716,1190,732,1239,682,1041,6635,8813,1
1350,632,37,232,744,294,1013,27,254,282,636,614,289,979,613,970,35,271,257,649,553,620,828,298,1050,764,1086,633,384,20,264,248,787,535,677,518,342,1044,721,1092,623,362,280,711,583,626,425,759,1118,697,389,574,689,593,617,388,456,4066,5427,0
1638,1253,14,306,1217,302,2258,10,305,385,1361,1247,268,2157,1311,3439,22,286,350,1140,773,1341,1250,280,2218,1185,2895,1253,1359,21,260,423,1228,854,1338,608,308,2207,1216,3074,1290,1411,373,1382,803,1326,687,1319,3395,1290,1348,847,1351,599,1322,1369,623,13803,9127,1
1611,895,41,400,638,368,1591,28,334,577,1533,863,340,1623,1800,1970,50,410,653,1439,985,768,671,374,1846,1523,1880,869,631,33,368,558,1361,939,783,454,358,1681,1544,1751,858,582,644,1773,1032,883,590,1793,2100,790,575,1061,925,542,948,667,616,6123,5982,1
3460,2825,38,794,2011,606,4924,36,609,951,3656,2752,786,5022,3467,8094,26,809,967,2711,2011,2644,2055,674,5028,2714,6412,2914,2810,34,735,1004,2635,2128,2737,1061,635,5024,2864,6361,2988,2803,1089,3637,2108,2986,1516,3679,8261,2755,2784,2006,2813,1099,3033,2768,1550,27287,18783,0
5343,3435,65,1245,2661,1082,6035,79,1240,1597,4576,3473,1348,5861,4341,7551,75,1304,1384,3770,2908,3306,2785,1201,5830,3800,6289,3540,2352,82,1367,1501,3844,3108,3227,1915,1220,6020,3641,6414,3559,2256,1532,4505,3072,3559,2390,4509,7545,3311,2404,3041,3275,1773,3542,2223,2234,21981,24315,0
3270,1820,69,799,1479,760,3101,64,688,1192,3381,1890,865,3471,3880,3912,74,893,1249,3459,2276,1609,1444,834,3517,3318,3967,1839,1093,64,819,1095,2988,2099,1538,955,739,3481,3532,3481,1713,1076,1260,4110,2368,1737,1156,3826,4290,1682,1095,2253,1819,1046,1993,1258,1211,10112,12216,1
3157,2705,26,586,2082,453,4809,27,459,820,2912,2687,519,4901,2812,7562,28,632,752,2435,1349,1991,2070,479,4818,2281,6120,2189,2719,15,528,770,2212,1391,1960,527,467,4930,2394,6186,2101,2690,765,3051,1370,2168,737,2856,7456,1992,2700,1409,1981,557,2201,2730,710,59546,17029,0
1753,1706,8,315,1167,222,3108,16,237,405,1846,1663,287,3132,1759,5705,9,285,413,1394,922,1458,1242,224,3108,1473,4720,1680,2288,14,255,474,1432,1024,1575,393,233,3049,1435,4770,1791,2267,422,1725,985,1748,592,1966,5851,1576,2263,989,1617,408,1713,2332,591,25160,10606,1
3421,3512,19,635,2337,459,6570,26,456,893,3746,3394,571,6534,3885,12521,18,615,874,3080,1907,3479,2419,464,6614,2931,9840,3808,5045,20,627,931,3167,1909,3521,902,450,6589,3022,10159,3794,5210,879,3753,1867,3807,1301,3653,12699,3434,5165,1860,3359,965,3797,5061,1268,49861,21922,0
3952,3832,32,831,2439,593,6897,32,619,1173,5130,3881,931,7090,5152,13405,26,860,1112,3445,2625,3689,2458,603,7115,3639,9648,4204,4574,35,837,1132,3645,2635,3652,1122,645,6845,3408,9390,4176,4543,1182,4967,2664,4168,1901,5218,13578,3555,4583,2701,3665,1078,4211,4509,1964,41875,23418,0
7987,3519,198,1655,3436,1647,5838,244,1694,2376,5624,3571,1723,5745,5176,6676,209,1654,2019,4477,3504,3265,3444,1610,5753,4625,5725,3276,1974,210,1763,2064,4643,3599,3249,2532,1743,5850,4515,5917,3250,1933,2196,5135,3421,3348,2543,5266,6540,3376,2089,3523,3130,2593,3185,2002,2685,21295,26882,1
4493,2201,66,812,2263,842,2988,80,820,830,2009,2235,828,2962,1951,3376,77,741,718,1780,1431,1960,2192,761,3029,1826,3137,1961,1435,66,835,786,1808,1499,1873,1551,859,2967,1771,3118,1900,1414,834,1905,1469,1941,1512,1939,3267,1930,1368,1431,1906,1512,1912,1424,1589,14964,17727,0
350,203,3,59,216,56,313,5,55,70,181,206,54,299,186,349,3,56,76,194,112,171,243,54,336,170,394,144,140,4,60,65,221,117,172,91,57,295,175,362,144,127,76,168,99,165,90,186,357,165,142,123,184,89,156,147,95,3133,1726,0
1610,1091,14,276,1224,257,2266,16,342,415,1276,1119,292,2411,1261,3605,19,257,424,1537,874,1424,1264,328,2458,1486,3950,1353,1640,17,250,382,1348,822,1377,648,302,2371,1264,3815,1313,1518,407,1312,817,1312,564,1305,3520,1347,1596,916,1401,595,1396,1523,541,14465,8876,1
3027,1322,61,677,1275,660,1906,78,667,818,1993,1244,606,1899,1837,1997,92,650,678,1514,1245,1121,1219,595,1887,1502,1680,1060,548,67,619,756,1556,1286,1077,901,606,1975,1860,1785,1099,581,816,1850,1371,1087,1029,1794,1853,1069,528,1321,1007,889,1044,554,963,6669,9355,1
4756,2259,77,897,2388,857,3022,73,916,849,1860,2395,896,3106,1942,3189,81,883,813,1956,1676,1948,2312,825,3007,1976,3170,2013,1248,90,862,794,2029,1619,1994,1661,903,3092,1975,3181,2006,1227,812,1871,1653,2032,1672,1975,3167,2005,1287,1611,2024,1707,1978,1309,1684,14103,18056,0
6476,3199,107,1205,3130,1191,4109,124,1226,1057,2477,3163,1236,4107,2533,4143,102,1153,1138,2737,2196,2632,3111,1286,4260,2661,4224,2576,1628,120,1295,1208,2747,2165,2496,2058,1268,4335,2799,4432,2629,1645,1131,2768,2351,2720,2174,2654,4305,2628,1722,2133,2699,2139,2587,1716,2167,20197,24454,1
